nodeName	altName	nodeAttr[nodesPresent, ]
TraesCS2D02G032900		brown
TraesCS2D02G034400	GO:0009507,GO:0009536,GO:0080153	brown
TraesCS2D02G046600	GO:0009909	brown
TraesCS2D02G049500	GO:0005737,GO:0005524,GO:0006457,GO:0042026,GO:0009507,GO:0009536,GO:0000166,GO:0016887	brown
TraesCS2D02G061000		brown
TraesCS2D02G061400		brown
TraesCS2D02G062500		brown
TraesCS2D02G071400	GO:0009507,GO:0031977	brown
TraesCS2D02G072200	GO:0016021,GO:0016020,GO:0005384,GO:0046873,GO:0071421,GO:0009507,GO:0005794,GO:0070588,GO:0015085,GO:0032468,GO:0032472	brown
TraesCS2D02G096900	GO:0003755,GO:0009507,GO:0009735,GO:0016853,GO:0000413	brown
TraesCS2D02G118000	GO:0005525,GO:0003924,GO:0000166,GO:0000287	brown
TraesCS2D02G130400	GO:0003723,GO:0001522,GO:0009982,GO:0009451,GO:0000455	brown
TraesCS2D02G161900	GO:0003676,GO:0003723	brown
TraesCS2D02G167500	GO:0009507	brown
TraesCS2D02G169800	GO:0046872,GO:0030001,GO:0043682,GO:0035434	brown
TraesCS2D02G179700		brown
TraesCS2D02G181400	GO:0003700,GO:0005634,GO:0003677,GO:0006355,GO:0046983,GO:0045944,GO:0000977	brown
TraesCS2D02G190000	GO:0003723,GO:0008168,GO:0006396,GO:0008173,GO:0030488	brown
TraesCS2D02G197300	GO:0016491,GO:0016620,GO:0055114,GO:0005737,GO:0008886,GO:0008911	brown
TraesCS2D02G199700	GO:0016740,GO:0008299,GO:0004311,GO:0004659	brown
TraesCS2D02G201300		brown
TraesCS2D02G205900	GO:0005507,GO:0006412,GO:0009793,GO:0009579,GO:0042742,GO:0032544,GO:0009817,GO:0009570,GO:0009658,GO:0005739,GO:0009507,GO:0043023	brown
TraesCS2D02G209100	GO:0016020,GO:0009507,GO:0010020,GO:0090143	brown
TraesCS2D02G210000	GO:0015979,GO:0010207,GO:0009534,GO:0010027,GO:0045037,GO:0045038	brown
TraesCS2D02G214700	GO:0016021,GO:0046872,GO:0009535,GO:0016020,GO:0015979,GO:0009496,GO:0042651,GO:0051537,GO:0045158,GO:0055114,GO:0009507,GO:0009579,GO:0009536,GO:0022900,GO:0051536,GO:0005886,GO:0016491	brown
TraesCS2D02G219500	GO:0005737,GO:0003747,GO:0016149,GO:0006412,GO:0006415	brown
TraesCS2D02G226700		brown
TraesCS2D02G231000	GO:0046872,GO:0070006,GO:0006508,GO:0070084,GO:0004177,GO:0016787,GO:0008233	brown
TraesCS2D02G235900	GO:0003676,GO:0005524,GO:0000166,GO:0006418,GO:0004812,GO:0005737,GO:0006421,GO:0004816,GO:0006412	brown
TraesCS2D02G236100	GO:0005515	brown
TraesCS2D02G239700	GO:0003755	brown
TraesCS2D02G244500	GO:0005515	brown
TraesCS2D02G246100	GO:0003676,GO:0003723,GO:0000175,GO:0015995,GO:0016036,GO:0004654,GO:0006402,GO:0016120,GO:0010323,GO:0016123,GO:0031425,GO:0009570,GO:0016779,GO:0016740,GO:0090305,GO:0004518,GO:0090503,GO:0005739,GO:0006401,GO:0005829,GO:0000965,GO:0000958	brown
TraesCS2D02G248600	GO:0005737,GO:0005524,GO:0000166,GO:0004827,GO:0006433,GO:0006418,GO:0004812,GO:0016874,GO:0005739,GO:0009570,GO:0017101	brown
TraesCS2D02G249200	GO:0005737,GO:0005524,GO:0000166,GO:0002161,GO:0006418,GO:0004832,GO:0006438,GO:0004812	brown
TraesCS2D02G251000	GO:0003676,GO:0009579,GO:0003729,GO:1901259,GO:0031425,GO:0009570	brown
TraesCS2D02G254500	GO:0016491,GO:0055114,GO:0047834	brown
TraesCS2D02G261300	GO:0005524,GO:0003824,GO:0009507,GO:0005739,GO:0030956,GO:0050567,GO:0016874,GO:0070681,GO:0032543,GO:0009536,GO:0000166,GO:0006412,GO:0016884,GO:0050566	brown
TraesCS2D02G264600	GO:0016787,GO:0016021,GO:0016020	brown
TraesCS2D02G271300	GO:0000049	brown
TraesCS2D02G280000		brown
TraesCS2D02G285400	GO:0003723,GO:0006396,GO:0016779	brown
TraesCS2D02G285800	GO:0005524,GO:0016887,GO:0019538,GO:0000166,GO:0034605,GO:0005737,GO:0005515	brown
TraesCS2D02G304200	GO:0005509,GO:0015979,GO:0009507,GO:0009523,GO:0009654,GO:0019898	brown
